state,energy
0.000000000000000000e+00,2.571625003218649397e+00
1.000000000000000000e+00,3.127656432986256618e+00
2.000000000000000000e+00,6.641383770108206797e+00
3.000000000000000000e+00,9.310522052645680446e+00
4.000000000000000000e+00,1.300839209258560913e+01
5.000000000000000000e+00,1.713230349719534829e+01
