x,psi_0,psi_1,psi_2,psi_3,psi_4,psi_5
-3.826666666666666661e+00,2.043573656402810885e-22,-1.107275061363104682e-22,-4.435832217658883368e-22,9.679584849645397145e-22,2.278935647022406218e-21,-5.417625901565397317e-21
-3.819999999999999840e+00,2.726757179097670060e-22,-1.477320430524686527e-22,-5.915076052438216528e-22,1.290220505062856200e-21,3.035933365285843391e-21,-7.212621160357450315e-21
-3.813333333333333464e+00,3.634436564127564268e-22,-1.968920635573460116e-22,-7.879143493899645265e-22,1.717923979768231333e-21,4.040027127199597223e-21,-9.591975698279859071e-21
-3.806666666666666643e+00,4.839082223499128757e-22,-2.621300803947436246e-22,-1.048411941182184721e-21,2.284954470945808636e-21,5.370429356743641826e-21,-1.274250050805417553e-20
-3.799999999999999822e+00,6.436133009352757456e-22,-3.486113103064882402e-22,-1.393541780836327621e-21,3.035886825862816139e-21,7.131275610617023289e-21,-1.690961386757097880e-20
-3.793333333333333446e+00,8.551138470440334943e-22,-4.631299488070536590e-22,-1.850307583464087896e-21,4.029292828982566758e-21,9.459315803363872786e-21,-2.241537250855094601e-20
-3.786666666666666625e+00,1.134907862306273353e-21,-6.146131616467407638e-22,-2.454169614606711857e-21,5.342052098502666966e-21,1.253393162373275934e-20,-2.968193887317998523e-20
-3.779999999999999805e+00,1.504651161677285220e-21,-8.147779369415950831e-22,-3.251642143204843853e-21,7.074964256216358319e-21,1.659016910210565415e-20,-3.926208908464949015e-20
-3.773333333333333428e+00,1.992738981745184762e-21,-1.078986211659795877e-21,-4.303672813494672069e-21,9.360047032420872623e-21,2.193567492757609319e-20,-5.187882957772613809e-20
-3.766666666666666607e+00,2.636362933266515265e-21,-1.427356890426176602e-21,-5.690034439801106996e-21,1.237001621882764960e-20,2.897268129232597646e-20,-6.847678438072861459e-20
-3.759999999999999787e+00,3.484183204769773374e-21,-1.886210332545460774e-21,-7.515026210131582914e-21,1.633058608278471879e-20,3.822651239333947045e-20,-9.028877581059283266e-20
-3.753333333333333410e+00,4.599796214310644232e-21,-2.489942636921116382e-21,-9.914866507713927512e-21,2.153641168522659698e-20,5.038250609465113714e-20,-1.189219945017427404e-19
-3.746666666666666590e+00,6.066229537853997837e-21,-3.283454928580402122e-21,-1.306726868212918537e-20,2.837172851802150913e-20,6.633378181534660933e-20,-1.564693980894441076e-19
-3.740000000000000213e+00,7.991762032214217041e-21,-4.325298525939757635e-21,-1.720383066558916722e-20,3.733704395699679313e-20,8.724297233654206795e-20,-2.056535647156905183e-19
-3.733333333333333393e+00,1.051745157025788892e-20,-5.691742476171947451e-21,-2.262604762314767233e-20,4.908361689382056236e-20,1.146219132411750935e-19,-2.700122503457391859e-19
-3.726666666666666572e+00,1.382686072173631398e-20,-7.482028186196634623e-21,-2.972598433550479883e-20,6.445794892008123614e-20,1.504344000688205213e-19,-3.541374744788398796e-19
-3.719999999999999751e+00,1.815860837686552942e-20,-9.825150162961162794e-21,-3.901293399420598335e-20,8.455913082983785036e-20,1.972285442925446127e-19,-4.639832344817549426e-19
-3.713333333333333375e+00,2.382255072263986270e-20,-1.288859652208625655e-20,-5.114775927397091564e-20,1.108126776103297903e-19,2.583070659713573997e-19,-6.072611099423759066e-19
-3.706666666666666554e+00,3.122061824170951288e-20,-1.688960337159500634e-20,-6.698708103373991368e-20,1.450654884003144845e-19,3.379461554672769846e-19,-7.939482984368855234e-19
-3.700000000000000178e+00,4.087361923978017291e-20,-2.210963028783647025e-20,-8.764007635829463023e-20,1.897078416200163704e-19,4.416764472982289437e-19,-1.036939316045934214e-18
-3.693333333333333357e+00,5.345568084765735889e-20,-2.891295851098463205e-20,-1.145414043115097961e-19,2.478299506566364440e-19,5.766433372564819774e-19,-1.352881067673593101e-18
-3.686666666666666536e+00,6.983845564562048185e-20,-3.777056005875783551e-20,-1.495447367286066665e-19,3.234226513300445582e-19,7.520685416370112068e-19,-1.763241704753909820e-18
-3.680000000000000160e+00,9.114780134218216488e-20,-4.929069833109849638e-20,-1.950425853358445846e-19,4.216343807472335654e-19,9.798406982733147348e-19,-2.295677218447657254e-18
-3.673333333333333339e+00,1.188363740778373267e-19,-6.425811606998649222e-20,-2.541196515224236606e-19,5.490998782412532304e-19,1.275270260339736382e-18,-2.985776786644942650e-18
-3.666666666666666519e+00,1.547765027350131865e-19,-8.368416619350774480e-20,-3.307488639253108108e-19,7.143601682584785381e-19,1.658053332190118254e-18,-3.879289404363949956e-18
-3.660000000000000142e+00,2.013788819623174722e-19,-1.088708718846590984e-19,-4.300417150780323430e-19,9.283985914945569899e-19,2.153500937145424708e-18,-5.034961403883124344e-18
-3.653333333333333321e+00,2.617440977870750962e-19,-1.414926979417195614e-19,-5.585675909482161815e-19,1.205324207903426717e-18,2.794105107845046365e-18,-6.528148514148335278e-18
-3.646666666666666501e+00,3.398558595297628390e-19,-1.837008176939981649e-19,-7.247606674817948113e-19,1.563242144583348072e-18,3.621531920072236492e-18,-8.455408862177312307e-18
-3.640000000000000124e+00,4.408271523420877296e-19,-2.382559210224913821e-19,-9.394378272197869575e-19,2.025360827873111001e-18,4.689155108373077211e-18,-1.094033694957148953e-17
-3.633333333333333304e+00,5.712134670473719197e-19,-3.086971943167979036e-19,-1.216457176774170313e-18,2.621399050818476404e-18,6.065273396334182442e-18,-1.414096583556278260e-17
-3.626666666666666483e+00,7.394109586344955261e-19,-3.995570935788028141e-19,-1.573554433417711498e-18,3.389372141212562415e-18,7.837191623311205792e-18,-1.825914886097739189e-17
-3.620000000000000107e+00,9.561620189170499725e-19,-5.166340280676290924e-19,-2.033404082448425239e-18,4.377856926691066546e-18,1.011639198433890816e-17,-2.355243738797455979e-17
-3.613333333333333286e+00,1.235196554924958752e-18,-6.673381989105054736e-19,-2.624964265370295318e-18,5.648860752162563121e-18,1.304507948926792026e-17,-3.034910232139612646e-17
-3.606666666666666465e+00,1.594044530787879105e-18,-8.611297500404401989e-19,-3.385179435804919171e-18,7.281451742058783195e-18,1.680445789679416508e-17,-3.906711093706678774e-17
-3.600000000000000089e+00,2.055064414273682264e-18,-1.110073279726447632e-18,-4.361133649912572320e-18,9.376347362464801194e-18,2.162518235579005853e-17,-5.023807456826102945e-17
-3.593333333333333268e+00,2.646743511598114494e-18,-1.429538867455835692e-18,-5.612770848868283848e-18,1.206170803703054863e-17,2.780054706854388936e-17,-6.453743660670185122e-17
-3.586666666666666448e+00,3.405340321710942882e-18,-1.839087386655451366e-18,-7.216327763573805382e-18,1.550044446336332607e-17,3.570310575177667868e-17,-8.282248589531235124e-17
-3.580000000000000071e+00,4.376956668146871707e-18,-2.363587361159027972e-18,-9.268661508695667829e-18,1.989942426891411109e-17,4.580559600443526369e-17,-1.061801724835771981e-16
-3.573333333333333250e+00,5.620149304009098487e-18,-3.034622429324770722e-18,-1.189269923714629644e-17,2.552105931376270944e-17,5.870725388073087762e-17,-1.359871887647020305e-16
-3.566666666666666430e+00,7.209217957627048884e-18,-3.892263154618318267e-18,-1.524429349239394560e-17,3.269787368957925821e-17,7.516687182004518128e-17,-1.739853811570062282e-16
-3.560000000000000053e+00,9.238340652557299561e-18,-4.987295142260281907e-18,-1.952083669928421747e-17,4.185079967971936247e-17,9.614428363440839707e-17,-2.223763026179379610e-16
-3.553333333333333233e+00,1.182676914380268608e-17,-6.384018019948931584e-18,-2.497207473497560422e-17,5.351213125916992047e-17,1.228523692438767550e-16,-2.839396372999068624e-16
-3.546666666666666856e+00,1.512534936237777976e-17,-8.163757837476326504e-18,-3.191366659532502896e-17,6.835429024106101082e-17,1.568221773275339333e-16,-3.621813658115610691e-16
-3.540000000000000036e+00,1.932469618204636992e-17,-1.042927008655483508e-17,-4.074416956445835563e-17,8.722583885116805767e-17,1.999843880867579178e-16,-4.615189419745242168e-16
-3.533333333333333215e+00,2.466543146779899112e-17,-1.331025337047777494e-17,-5.196629281172729105e-17,1.111965164743698880e-16,2.547711078403959400e-16,-5.875124795993615105e-16
-3.526666666666666394e+00,3.145099272473527209e-17,-1.697024663715831697e-17,-6.621346407407503010e-17,1.416135023910430328e-16,3.242429350502815831e-16,-7.471530736643366683e-16
-3.520000000000000018e+00,4.006364100169782278e-17,-2.161524811768798912e-17,-8.428300268986487936e-17,1.801716285846827634e-16,4.122474036444262692e-16,-9.492219932192748006e-16
-3.513333333333333197e+00,5.098444621910070565e-17,-2.750447447896310846e-17,-1.071774982853325820e-16,2.290009091753926591e-16,5.236163428796469867e-16,-1.204737691347912972e-15
