half_width,n_points,dx,E_0,E_1,E_2,E_3,E_4,E_5
3.399999999999999911e+00,1.701000000000000000e+03,4.000000000000000083e-03,2.571625004799530601e+00,3.127656431641091750e+00,6.641383771376455414e+00,9.310522066985036815e+00,1.300839212784035226e+01,1.713230357688320993e+01
4.000000000000000000e+00,2.001000000000000000e+03,4.000000000000000083e-03,2.571625004799530601e+00,3.127656431641091750e+00,6.641383771376455414e+00,9.310522066985036815e+00,1.300839212784035226e+01,1.713230357688320993e+01
4.599999999999999645e+00,2.301000000000000000e+03,4.000000000000000083e-03,2.571625004799530601e+00,3.127656431641091750e+00,6.641383771376455414e+00,9.310522066985036815e+00,1.300839212784035226e+01,1.713230357688320993e+01
