n_points,dx,E_0,E_1,E_2,E_3,E_4,E_5
1.000000000000000000e+03,8.008008008008007939e-03,2.571625000936979433e+00,3.127656428293624558e+00,6.641383772065550417e+00,9.310522038688986868e+00,1.300839205535044485e+01,1.713230339671046565e+01
2.001000000000000000e+03,4.000000000000000083e-03,2.571625004799530601e+00,3.127656431641091750e+00,6.641383771376455414e+00,9.310522066985036815e+00,1.300839212784035226e+01,1.713230357688320993e+01
3.003000000000000000e+03,2.664890073284477065e-03,2.571625004963036254e+00,3.127656431824297201e+00,6.641383771559737248e+00,9.310522068399437856e+00,1.300839213175893683e+01,1.713230358702686118e+01
