state,energy,mismatch_residual
0,2.57162500479953,3.259527e-12
1,3.12765643164109,2.343028e-13
2,6.64138377137646,5.991650e-11
3,9.31052206698504,2.771286e-11
4,13.0083921278404,1.588991e-11
5,17.1323035768832,6.104908e-11
