x,V,psi_0,density_0,psi_1,density_1,psi_2,density_2,psi_3,density_3,psi_4,density_4,psi_5,density_5
-3.947999999999999954e+00,1.062872667918079742e+03,8.813145503996188040e-25,7.767153367460822175e-49,-4.782355590478577108e-25,2.287092499378169951e-49,-1.933952234297501405e-24,3.740171244544297787e-48,4.250445782667777859e-24,1.806628935139829862e-47,1.010697052760744761e-23,1.021508532459255613e-46,-2.429488441809365600e-23,5.902414088885299083e-46
-3.943999999999999950e+00,1.058273919892479853e+03,1.063057446514243582e-24,1.130091134589383820e-48,-5.768301835842536087e-25,3.327330606938437321e-49,-2.331993818231538396e-24,5.438195168270109418e-48,5.124145839223766166e-24,2.625687058163423520e-47,1.218082541685168269e-23,1.483725078358199685e-46,-2.927008218726117440e-23,8.567377112490239008e-46
-3.939999999999999947e+00,1.053689784800000098e+03,1.280809576765204780e-24,1.640473171933463145e-48,-6.949536129830300991e-25,4.829605241981672078e-49,-2.808722268151087882e-24,7.888920779607791131e-48,6.170306330608191342e-24,3.807268021354352352e-47,1.466319398478940182e-23,2.150092578355641122e-46,-3.522303956506053583e-23,1.240662516201819865e-45
-3.935999999999999943e+00,1.049120232366080018e+03,1.541758024223624246e-24,2.377017805257933429e-48,-8.365024691901032901e-25,6.997363809611397184e-49,-3.379809283033684684e-24,1.142311078968067045e-47,7.423227315429364454e-24,5.510430377653664844e-47,1.763516610655819944e-23,3.109990836058990891e-46,-4.234741928398093586e-23,1.793303920013280377e-45
-3.931999999999999940e+00,1.044565232346879839e+03,1.854476824569874531e-24,3.439084292866764966e-48,-1.006125091125118953e-24,1.012287698991528879e-48,-4.063943575287812734e-24,1.651563738312309121e-47,8.923801596400093414e-24,7.963423493191285922e-47,2.119338339317889327e-23,4.491594996502709332e-46,-5.087393370969178479e-23,2.588157131098114055e-45
-3.927999999999999936e+00,1.040024754529280017e+03,2.229194931403330551e-24,4.969310042194299793e-48,-1.209366723669523710e-24,1.462567872319158131e-48,-4.883412418037309260e-24,2.384771684464099923e-47,1.072078356914407534e-23,1.149352003364295704e-46,2.545302594537902500e-23,6.478565297761378464e-46,-6.107744341113372038e-23,3.730454093640242216e-45
-3.923999999999999932e+00,1.035498768730880101e+03,2.678114378532253885e-24,7.172296624501200326e-48,-1.452841894725687219e-24,2.110749571070124958e-48,-5.864791848023257858e-24,3.439578342064005997e-47,1.287229473463258207e-23,1.656959717352497060e-46,3.055135486326400527e-23,9.333852839810851713e-46,-7.328537305631822586e-23,5.370745904003733350e-45
-3.919999999999999929e+00,1.030987244799999871e+03,3.215788018305899735e-24,1.034129257867978566e-47,-1.744439058548494102e-24,3.043067628989556357e-48,-7.039765774435597478e-24,4.955830215891482694e-47,1.544760990896495314e-23,2.386286518995522096e-46,3.665191367594720714e-23,1.343362776109085855e-45,-8.788768853122894757e-23,7.724245795362311712e-45
-3.915999999999999925e+00,1.026490152615679790e+03,3.859567915178942022e-24,1.489626449187872400e-47,-2.093563503711204561e-24,4.383008144071534954e-48,-8.446097904287554453e-24,7.133656980881061562e-47,1.852927610849503418e-23,3.433340731048448803e-46,4.394951041890400340e-23,1.931559466061351698e-45,-1.053487229383838978e-22,1.109835342474837343e-44
-3.911999999999999922e+00,1.022007462087680096e+03,4.630137480519932535e-24,2.143817308851546941e-47,-2.511425610156652395e-24,6.307258595350713714e-48,-1.012878471370960366e-23,1.025922797766773318e-46,2.221562545909887680e-23,4.935340145389622063e-46,5.267612397533167301e-23,2.774774037064512369e-45,-1.262211907059357010e-22,1.593178898322418806e-44
